Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
51I0890,437771,433085,2,3,A6120,1,1,1,E08000035,9,2,3,2,28,2018-01-18 14:20:00
51I0890,437771,433085,2,3,A6120,1,1,1,E08000035,9,1,3,1,28,2018-01-18 14:20:00
51I1124,431970,435825,2,6,U,1,1,1,E08000035,9,1,3,1,46,2018-01-18 15:30:00
51I1440,424278,428348,2,3,A62,2,4,2,E08000035,9,1,3,2,68,2018-01-18 17:45:00
51J0246,431048,433059,1,6,U,2,4,2,E08000035,9,3,3,1,19,2018-01-19 06:35:00
51J0285,430951,429996,3,6,U,4,7,1,E08000035,9,1,3,2,44,2018-01-19 07:20:00
51J1698,434529,435517,2,6,U,4,4,1,E08000035,9,3,3,2,31,2018-01-19 20:07:00
51J2063,431421,432409,2,6,U,2,4,1,E08000035,9,2,3,2,17,2018-01-19 22:35:00
51K0068,424235,428163,1,3,A650,2,4,1,E08000035,9,3,3,2,27,2018-01-19 23:15:00
51K0227,429702,431348,1,6,U,4,4,1,E08000035,9,2,2,1,39,2018-01-20 03:00:00
51K0227,429702,431348,1,6,U,4,4,1,E08000035,9,2,3,2,38,2018-01-20 03:00:00
51K0227,429702,431348,1,6,U,4,4,1,E08000035,9,2,3,2,28,2018-01-20 03:00:00
51K0227,429702,431348,1,6,U,4,4,1,E08000035,9,1,2,1,31,2018-01-20 03:00:00
51K0227,429702,431348,1,6,U,4,4,1,E08000035,9,2,2,1,37,2018-01-20 03:00:00
51K1256,430411,439579,2,6,U,2,4,1,E08000035,9,1,3,1,50,2018-01-20 17:30:00
51K1556,431091,432229,1,6,U,2,4,2,E08000035,9,3,2,1,34,2018-01-20 20:00:00
51L0609,431753,434603,2,6,U,1,1,1,E08000035,1,1,3,1,36,2018-01-21 11:44:00
51L0802,421533,445877,2,6,U,3,1,3,E08000035,9,2,3,1,17,2018-01-21 13:42:00
51L0802,421533,445877,2,6,U,3,1,3,E08000035,9,1,3,2,31,2018-01-21 13:42:00
51L0845,428805,425807,1,6,U,4,1,1,E08000035,9,1,3,1,40,2018-01-21 13:30:00
51L0977,426978,430296,2,1,M621,4,1,5,E08000035,9,2,3,2,46,2018-01-21 15:30:00
51M0731,431803,431377,1,3,A639,1,1,1,E08000035,19,3,3,1,16,2018-01-22 12:55:00
51M1160,430782,438592,2,6,U,2,1,1,E08000035,9,1,3,1,35,2018-01-22 15:03:00
51M1215,433816,434551,4,6,U,1,4,1,E08000035,9,1,3,2,30,2018-01-22 16:52:00
51M1215,433816,434551,4,6,U,1,4,1,E08000035,9,2,3,1,36,2018-01-22 16:52:00
51M1215,433816,434551,4,6,U,1,4,1,E08000035,9,1,3,2,31,2018-01-22 16:52:00
51M1215,433816,434551,4,6,U,1,4,1,E08000035,9,1,3,2,40,2018-01-22 16:52:00
51M1399,430157,430970,2,6,U,2,6,1,E08000035,1,1,3,1,25,2018-01-22 18:21:00
51N0267,435590,431291,2,1,M1,2,1,1,E08000035,9,1,3,1,70,2018-01-24 07:54:00
51N0267,435590,431291,2,1,M1,2,1,1,E08000035,9,2,3,2,65,2018-01-24 07:54:00
51N0812,423662,438120,2,6,U,1,7,1,E08000035,9,1,3,1,71,2018-01-23 13:24:00
51N1571,436642,432604,2,4,B6154,1,4,1,E08000035,1,1,3,1,32,2018-01-23 19:30:00
51N1993,428504,434471,1,6,U,2,4,1,E08000035,9,3,2,2,19,2018-01-23 23:17:00
51O0327,424992,432896,2,6,U,2,1,2,E08000035,9,1,3,2,38,2018-01-24 08:30:00
51O0327,424992,432896,2,6,U,2,1,2,E08000035,9,1,3,2,38,2018-01-24 08:30:00
51O0327,424992,432896,2,6,U,2,1,2,E08000035,9,2,3,1,15,2018-01-24 08:30:00
51O0688,430933,435649,2,6,U,1,1,1,E08000035,9,1,3,1,28,2018-01-19 10:00:00
51O0855,433562,425862,3,1,M62,1,1,1,E08000035,20,1,2,1,68,2018-01-24 13:51:00
51O0866,427853,432793,2,6,U,1,1,5,E08000035,9,1,3,1,64,2018-01-24 14:00:00
51O1318,434164,433869,1,3,A63,1,7,1,E08000035,11,3,2,1,17,2018-01-24 17:52:00
51P0268,434229,438674,2,3,A6120,2,1,1,E08000035,5,1,2,1,25,2018-01-25 08:25:00
51P0353,427493,436984,1,3,A660,1,1,1,E08000035,9,3,2,1,85,2018-01-25 09:15:00
51P0812,431074,430365,2,6,U,1,1,1,E08000035,9,1,2,1,72,2018-01-25 13:14:00
51P0812,431074,430365,2,6,U,1,1,1,E08000035,21,2,3,2,62,2018-01-25 13:14:00
51P0848,428707,433140,2,3,A58,1,1,1,E08000035,9,1,3,2,56,2018-01-25 14:00:00
51P0878,425473,432855,2,3,A6110,1,1,1,E08000035,1,1,3,2,27,2018-01-25 14:15:00
51P1051,432713,434970,1,6,U,1,1,1,E08000035,9,3,3,2,39,2018-01-25 15:30:00
51P1324,424868,434435,1,4,B6157,2,4,2,E08000035,9,3,3,1,39,2018-01-25 17:44:00
51P1516,429558,431565,2,6,U,2,4,2,E08000035,1,1,3,1,50,2018-01-25 19:30:00
51P1809,430499,437087,1,6,U,2,4,1,E08000035,9,3,3,2,43,2018-01-25 22:05:00
51Q0595,425941,437265,1,6,U,1,1,1,E08000035,8,3,3,2,24,2018-01-26 11:15:00
51Q0731,430045,431049,1,3,A653,1,1,1,E08000035,11,3,2,1,48,2018-01-26 12:35:00
51Q1039,429760,434505,2,3,A660,1,1,1,E08000035,1,1,3,2,21,2018-01-26 14:17:00
51Q1884,429224,431521,2,6,U,1,4,1,E08000035,1,1,3,1,41,2018-01-26 19:30:00
51R0160,432479,434780,1,4,B6159,1,4,1,E08000035,9,3,3,2,28,2018-01-27 02:20:00
51R1371,431982,435807,2,4,B6159,1,4,1,E08000035,9,1,3,1,24,2018-01-27 17:29:00
51S0923,431904,434860,2,6,U,1,4,1,E08000035,9,1,3,1,36,2018-01-28 00:31:00
51S1189,425626,428575,2,6,U,1,1,1,E08000035,3,1,2,1,19,2018-01-28 16:20:00
51S1426,422493,427896,2,3,A650,2,4,1,E08000035,9,1,3,1,42,2018-01-28 18:35:00
51S1426,422493,427896,2,3,A650,2,4,1,E08000035,9,1,3,1,22,2018-01-28 18:35:00
51T0191,432286,426254,2,1,M1,2,4,1,E08000035,9,1,3,2,31,2018-01-29 05:50:00
51T0191,432286,426254,2,1,M1,2,4,1,E08000035,9,2,3,1,5,2018-01-29 05:50:00
51T0214,423546,437387,2,3,A65,2,4,2,E08000035,1,1,3,1,52,2018-01-29 06:43:00
51T0804,443335,435491,2,4,B1217,2,1,1,E08000035,9,1,3,2,19,2018-01-29 13:05:00
51T0804,443335,435491,2,4,B1217,2,1,1,E08000035,9,2,2,2,72,2018-01-29 13:05:00
51T0804,443335,435491,2,4,B1217,2,1,1,E08000035,20,1,3,1,58,2018-01-29 13:05:00
51T0963,432183,433327,2,6,U,1,1,1,E08000035,3,1,3,1,23,2018-01-29 14:18:00
51T1039,440500,446312,1,2,A1(M),2,1,1,E08000035,9,1,3,1,55,2018-01-29 14:50:00
51T1111,443612,431682,4,3,A63,1,1,1,E08000035,19,1,3,1,40,2018-01-29 15:15:00
51T1111,443612,431682,4,3,A63,1,1,1,E08000035,9,1,3,2,52,2018-01-29 15:15:00
51T1315,427977,433614,1,6,U,1,1,1,E08000035,11,2,3,1,26,2018-01-29 14:40:00
51T1315,427977,433614,1,6,U,1,1,1,E08000035,11,2,3,2,45,2018-01-29 14:40:00
51T1315,427977,433614,1,6,U,1,1,1,E08000035,11,2,3,2,55,2018-01-29 14:40:00
51T1797,437897,433100,1,2,A1(M),1,6,1,E08000035,9,1,3,1,31,2018-01-29 20:49:00
51U0222,427811,431244,6,1,M621,1,4,1,E08000035,9,1,3,2,58,2018-01-30 06:45:00
51U0390,435268,434804,2,6,U,2,1,1,E08000035,1,1,2,1,10,2018-01-30 09:13:00
51U0670,438497,430405,2,6,U,1,1,1,E08000035,9,1,3,2,33,2018-01-30 08:50:00
51V0967,427489,434601,2,6,U,1,1,1,E08000035,1,1,3,1,21,2018-01-31 14:30:00
51V1253,436860,433637,2,3,A6120,1,1,4,E08000035,11,2,3,2,53,2018-01-31 16:45:00
51V1411,420831,439679,2,3,A65,2,4,1,E08000035,9,1,3,2,25,2018-01-31 17:59:00
51V1573,435425,437263,2,6,U,2,4,2,E08000035,9,1,3,1,34,2018-01-31 18:15:00
51V1573,435425,437263,2,6,U,2,4,2,E08000035,9,1,3,1,66,2018-01-31 18:15:00
5210417,432522,427562,1,3,A61,1,1,1,E08000035,9,3,3,1,59,2018-02-01 09:13:00
5210508,428837,440131,2,6,U,1,1,1,E08000035,1,1,3,1,28,2018-02-01 09:00:00
5210599,432375,426056,2,1,M62,2,1,2,E08000035,9,1,3,2,24,2018-01-02 12:14:00
5210620,421723,432936,1,6,U,1,1,1,E08000035,9,3,3,1,47,2018-02-01 11:21:00
5210831,426517,435658,3,6,U,3,1,1,E08000035,9,1,3,2,42,2018-02-01 13:23:00
5210901,439742,430162,1,6,U,1,1,1,E08000035,4,1,2,2,52,2018-02-01 13:55:00
5211489,431304,434649,2,6,U,1,4,1,E08000035,9,1,2,1,42,2018-02-01 18:43:00
5211489,431304,434649,2,6,U,1,4,1,E08000035,9,2,2,1,17,2018-02-01 18:43:00
5211579,431213,426513,3,1,M62,1,4,1,E08000035,9,1,2,1,63,2018-02-01 19:23:00
5211823,428098,436746,2,4,B6157,1,1,1,E08000035,1,1,2,1,44,2018-02-01 07:50:00
5220298,418458,442826,1,6,U,1,1,1,E08000035,9,3,3,2,13,2018-02-02 08:00:00
5220471,425837,437783,1,6,U,1,1,1,E08000035,11,2,3,2,83,2018-01-12 16:15:00
5221273,428995,429899,3,3,A653,1,1,1,E08000035,9,1,3,1,57,2018-02-02 16:25:00
5221295,427102,427364,1,6,U,1,1,1,E08000035,9,3,2,1,12,2018-02-02 16:40:00
5221554,429972,433288,2,6,U,1,4,1,E08000035,1,1,3,2,21,2018-02-02 18:38:00
5221579,423857,438580,1,6,U,1,1,1,E08000035,9,3,3,1,12,2018-01-31 08:20:00
5221602,431883,435363,3,6,U,1,4,1,E08000035,9,1,3,2,37,2018-02-02 18:55:00
5221602,431883,435363,3,6,U,1,4,1,E08000035,8,2,3,1,16,2018-02-02 18:55:00
5221602,431883,435363,3,6,U,1,4,1,E08000035,8,2,3,1,17,2018-02-02 18:55:00
5221770,431739,431403,1,6,U,1,4,1,E08000035,9,1,3,1,23,2018-02-02 20:00:00
5230684,425116,432412,2,6,U,2,1,1,E08000035,19,1,3,1,28,2018-02-03 11:45:00
5230684,425116,432412,2,6,U,2,1,1,E08000035,19,2,3,1,30,2018-02-03 11:45:00
5230700,425465,426996,2,3,A650,2,1,2,E08000035,9,2,3,2,77,2018-02-03 11:50:00
5230700,425465,426996,2,3,A650,2,1,2,E08000035,9,2,3,2,75,2018-02-03 11:50:00
5230700,425465,426996,2,3,A650,2,1,2,E08000035,9,1,3,1,77,2018-02-03 11:50:00
5230952,419469,441649,1,3,A65,2,1,2,E08000035,9,3,2,1,74,2018-02-03 14:00:00
5231758,432630,434928,2,6,U,2,4,1,E08000035,9,1,3,1,37,2018-02-03 21:46:00
5231836,431349,435062,1,6,U,1,4,1,E08000035,9,3,3,1,34,2018-02-03 22:31:00
5240945,432285,433647,2,3,A64,1,4,1,E08000035,8,2,3,2,17,2018-02-04 04:35:00
5240945,432285,433647,2,3,A64,1,4,1,E08000035,8,2,3,2,17,2018-02-04 04:35:00
5240945,432285,433647,2,3,A64,1,4,1,E08000035,8,2,3,1,21,2018-02-04 04:35:00
5241389,433108,436129,2,3,A58,1,4,1,E08000035,9,2,3,1,3,2018-02-04 17:35:00
5241389,433108,436129,2,3,A58,1,4,1,E08000035,9,2,3,2,36,2018-02-04 17:35:00
